covid,hate_crime,outsider
coronavirus,harassment ,devious
virus,assault,bizarre
covid,murder,venomous
flu,arson,erratic
bat,vandalism,barbaric
sick,threats,frightening
disease,hate,deceitful
infectious,spitting,forceful
contagious,attack,deceptive
,,envious
,,greedy
,,hateful
,,contemptible
,,brutal
,,monstrous
,,calculating
,,cruel
,,intolerant
,,aggressive
,,monstrous
